Invoice ID,Branch,City,Customer type,Gender,Product line,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,,,,,,,,,
873-51-0671,A,Lagos,Member,F,Sports and travel,Sports and travel-873-51-0671,"N7,912.80",7,2769.48,58159.08,1/10/2019,16:42,   Epay,55389.6,4.761904762,"N2,769.48",5.1,,,,,,,,,
594-34-4444,A,Lagos,Normal,M,Electronic accessories,Electronic accessories-594-34-4444,"N34,977.60",1,1748.88,36726.48,3/8/2019,20:38,   Epay,34977.6,4.761904762,"N1,748.88",7.2,,,,,,,,,
865-92-6136,A,Lagos,Normal,M,Food and beverages,Food and beverages-865-92-6136,"N18,990.00",3,2848.5,59818.5,3/23/2019,10:16,   Epay,56970,4.761904762,"N2,848.50",9.3,,,,,,,,,
212-62-1842,A,Lagos,Normal,M,Food and beverages,Food and beverages-212-62-1842,"N20,973.60",6,6292.08,132133.68,3/28/2019,16:44,Cash,125841.6,4.761904762,"N6,292.08",9.9,,,,,,,,,
704-48-3927,A,Lagos,Member,M,Electronic accessories,Electronic accessories-704-48-3927,"N31,921.20",10,15960.6,335172.6,1/12/2019,14:50,   Epay,319212,4.761904762,"N15,960.60",7.3,,,,,,,,,
630-74-5166,A,Lagos,Normal,M,Sports and travel,Sports and travel-630-74-5166,"N22,366.80",6,6710.04,140910.84,3/22/2019,20:19,Cash,134200.8,4.761904762,"N6,710.04",7.4,,,,,,,,,
645-44-1170,A,Lagos,Member,M,Home and lifestyle,Home and lifestyle-645-44-1170,"N20,905.20",9,9407.34,197554.14,1/19/2019,20:07,   Epay,188146.8,4.761904762,"N9,407.34",4.3,,,,,,,,,
642-32-2990,A,Lagos,Normal,feminine,Food and beverages,Food and beverages-642-32-2990,"N3,945.60",10,1972.8,41428.8,2/2/2019,20:48,   Epay,39456,4.761904762,"N1,972.80",6,,,,,,,,,
638-60-7125,A,Lagos,Normal,F,Electronic accessories,Electronic accessories-638-60-7125,"N35,841.60",8,14336.64,301069.44,2/14/2019,17:03,Card,286732.8,4.761904762,"N14,336.64",5.2,,,,,,,,,
668-90-8900,A,Lagos,Normal,F,Home and lifestyle,Home and lifestyle-668-90-8900,"N33,728.40",7,11804.94,247903.74,3/10/2019,18:44,Card,236098.8,4.761904762,"N11,804.94",4.5,,,,,,,,,
870-54-3162,A,Lagos,Normal,F,Sports and travel,Sports and travel-870-54-3162,"N11,610.00",5,2902.5,60952.5,1/27/2019,13:26,Cash,58050,4.761904762,"N2,902.50",9,,,,,,,,,
802-70-5316,A,Lagos,Member,F,Sports and travel,Sports and travel-802-70-5316,"N33,166.80",6,9950.04,208950.84,3/6/2019,20:34,Cash,199000.8,4.761904762,"N9,950.04",8.3,,,,,,,,,
700-81-1757,A,Lagos,Normal,F,Electronic accessories,Electronic accessories-700-81-1757,"N9,471.60",5,2367.9,49725.9,1/18/2019,20:59,Card,47358,4.761904762,"N2,367.90",8.8,,,,,,,,,
354-39-5160,A,Lagos,Member,F,Home and lifestyle,Home and lifestyle-354-39-5160,"N12,391.20",6,3717.36,78064.56,2/18/2019,15:39,Cash,74347.2,4.761904762,"N3,717.36",9.8,,,,,,,,,
575-30-8091,A,Lagos,Normal,M,Sports and travel,Sports and travel-575-30-8091,"N26,100.00",8,10440,219240,3/16/2019,19:25,   Epay,208800,4.761904762,"N10,440.00",9.2,,,,,,,,,
239-10-7476,A,Lagos,Normal,F,Home and lifestyle,Home and lifestyle-239-10-7476,"N28,062.00",6,8418.6,176790.6,1/21/2019,16:37,   Epay,168372,4.761904762,"N8,418.60",8,,,,,,,,,
685-64-1609,A,Lagos,Member,F,Fashion accessories,Fashion accessories-685-64-1609,"N10,850.40",10,5425.2,113929.2,2/10/2019,12:28,   Epay,108504,4.761904762,"N5,425.20",9.2,,,,,,,,,
238-49-0436,A,Lagos,Normal,M,HEALTH and Beauty,HEALTH and Beauty-238-49-0436,"N11,685.60",8,4674.24,98159.04,3/27/2019,13:48,Card,93484.8,4.761904762,"N4,674.24",4.9,,,,,,,,,
746-94-0204,A,Lagos,Normal,M,Fashion accessories,Fashion accessories-746-94-0204,"N29,966.40",9,13484.88,283182.48,1/29/2019,11:56,Card,269697.6,4.761904762,"N13,484.88",7.4,,,,,,,,,
782-95-9291,A,Lagos,Member,M,Food and beverages,Food and beverages-782-95-9291,"N33,224.40",5,8306.1,174428.1,2/20/2019,15:55,Card,166122,4.761904762,"N8,306.10",9,,,,,,,,,
275-28-0149,A,Lagos,Normal,M,Sports and travel,Sports and travel-275-28-0149,"N22,928.40",1,1146.42,24074.82,2/25/2019,16:21,Cash,22928.4,4.761904762,"N1,146.42",6,,,,,,,,,
101-17-6199,A,Lagos,Normal,M,Food and beverages,Food and beverages-101-17-6199,"N16,484.40",7,5769.54,121160.34,3/13/2019,19:44,Card,115390.8,4.761904762,"N5,769.54",7,,,,,,,,,
687-47-8271,A,Lagos,Normal,M,Fashion accessories,Fashion accessories-687-47-8271,"N35,632.80",10,17816.4,374144.4,2/8/2019,16:20,Card,356328,4.761904762,"N17,816.40",8.7,,,,,,,,,
796-32-9050,A,Lagos,Normal,M,Food and beverages,Food and beverages-796-32-9050,"N18,460.80",6,5538.24,116303.04,1/19/2019,16:31,Cash,110764.8,4.761904762,"N5,538.24",6.5,,,,,,,,,
105-31-1824,A,Lagos,Member,M,Sports and travel,Sports and travel-105-31-1824,"N25,027.20",7,8759.52,183949.92,2/1/2019,15:10,Card,175190.4,4.761904762,"N8,759.52",8.5,,,,,,,,,
249-42-3782,A,Lagos,Normal,M,HEALTH and Beauty,HEALTH and Beauty-249-42-3782,"N25,203.60",5,6300.9,132318.9,1/3/2019,11:36,   Epay,126018,4.761904762,"N6,300.90",5.5,,,,,,,,,
827-26-2100,A,Lagos,Member,M,Home and lifestyle,Home and lifestyle-827-26-2100,"N12,182.40",9,5482.08,115123.68,3/21/2019,16:21,   Epay,109641.6,4.761904762,"N5,482.08",8.8,,,,,,,,,
175-54-2529,A,Lagos,Member,M,Food and beverages,Food and beverages-175-54-2529,"N7,981.20",8,3192.48,67042.08,3/3/2019,17:01,Card,63849.6,4.761904762,"N3,192.48",9.6,,,,,,,,,
407-63-8975,A,Lagos,Normal,M,Food and beverages,Food and beverages-407-63-8975,"N26,596.80",6,7979.04,167559.84,3/23/2019,19:16,   Epay,159580.8,4.761904762,"N7,979.04",4.4,,,,,,,,,
851-28-6367,A,Lagos,Member,M,Sports and travel,Sports and travel-851-28-6367,"N5,580.00",10,2790,58590,3/23/2019,10:55,   Epay,55800,4.761904762,"N2,790.00",8,,,,,,,,,
586-25-0848,A,Lagos,Normal,feminine,Sports and travel,Sports and travel-586-25-0848,"N4,442.40",7,1554.84,32651.64,3/4/2019,11:19,Card,31096.8,4.761904762,"N1,554.84",6.7,,,,,,,,,
400-60-7251,A,Lagos,Normal,M,Home and lifestyle,Home and lifestyle-400-60-7251,"N26,665.20",1,1333.26,27998.46,2/10/2019,12:50,   Epay,26665.2,4.761904762,"N1,333.26",9.9,,,,,,,,,
831-07-6050,A,Lagos,Normal,M,Electronic accessories,Electronic accessories-831-07-6050,"N11,775.60",5,2943.9,61821.9,3/19/2019,11:30,Card,58878,4.761904762,"N2,943.90",9.9,,,,,,,,,
856-22-8149,A,Lagos,Normal,F,Home and lifestyle,Home and lifestyle-856-22-8149,"N9,104.40",1,455.22,9559.62,3/23/2019,10:13,   Epay,9104.4,4.761904762,N455.22,6.1,,,,,,,,,
749-24-1565,A,Lagos,Normal,F,HEALTH and Beauty,HEALTH and Beauty-749-24-1565,"N8,290.80",9,3730.86,78348.06,1/3/2019,12:02,   Epay,74617.2,4.761904762,"N3,730.86",7.9,,,,,,,,,
888-02-0338,A,Lagos,Normal,M,Electronic accessories,Electronic accessories-888-02-0338,"N9,442.80",9,4249.26,89234.46,1/25/2019,20:24,   Epay,84985.2,4.761904762,"N4,249.26",5.9,,,,,,,,,
802-43-8934,A,Lagos,Normal,M,Home and lifestyle,Home and lifestyle-802-43-8934,"N6,580.80",1,329.04,6909.84,3/22/2019,15:05,Card,6580.8,4.761904762,N329.04,8.3,,,,,,,,,
319-74-2561,A,Lagos,Member,F,Electronic accessories,Electronic accessories-319-74-2561,"N34,070.40",3,5110.56,107321.76,2/21/2019,16:55,Cash,102211.2,4.761904762,"N5,110.56",5.5,,,,,,,,,
213-72-6612,A,Lagos,Normal,M,Food and beverages,Food and beverages-213-72-6612,"N15,570.00",2,1557,32697,3/20/2019,15:56,Cash,31140,4.761904762,"N1,557.00",6.2,,,,,,,,,
721-86-6247,A,Lagos,Normal,F,Home and lifestyle,Home and lifestyle-721-86-6247,"N22,831.20",8,9132.48,191782.08,3/11/2019,12:55,   Epay,182649.6,4.761904762,"N9,132.48",7.4,,,,,,,,,
157-13-5295,A,Lagos,Member,M,HEALTH and Beauty,HEALTH and Beauty-157-13-5295,"N18,698.40",10,9349.2,196333.2,3/9/2019,18:24,   Epay,186984,4.761904762,"N9,349.20",6.5,,,,,,,,,
645-78-8093,A,Lagos,Normal,F,Sports and travel,Sports and travel-645-78-8093,"N33,530.40",2,3353.04,70413.84,1/20/2019,18:09,   Epay,67060.8,4.761904762,"N3,353.04",4.1,,,,,,,,,
478-06-7835,A,Lagos,Normal,M,Fashion accessories,Fashion accessories-478-06-7835,"N32,288.40",1,1614.42,33902.82,1/11/2019,11:20,   Epay,32288.4,4.761904762,"N1,614.42",4.9,,,,,,,,,
540-11-4336,A,Lagos,Normal,M,Food and beverages,Food and beverages-540-11-4336,"N8,978.40",9,4040.28,84845.88,1/11/2019,16:49,Card,80805.6,4.761904762,"N4,040.28",5.6,,,,,,,,,
448-81-5016,A,Lagos,Normal,M,HEALTH and Beauty,HEALTH and Beauty-448-81-5016,"N21,517.20",2,2151.72,45186.12,3/11/2019,12:01,Card,43034.4,4.761904762,"N2,151.72",5.8,,,,,,,,,
217-58-1179,A,Lagos,Member,M,Home and lifestyle,Home and lifestyle-217-58-1179,"N22,554.00",4,4510.8,94726.8,1/5/2019,11:25,Cash,90216,4.761904762,"N4,510.80",4.2,,,,,,,,,
530-90-9855,A,Lagos,Member,M,Home and lifestyle,Home and lifestyle-530-90-9855,"N17,132.40",8,6852.96,143912.16,1/1/2019,14:47,Cash,137059.2,4.761904762,"N6,852.96",5.7,,,,,,,,,
604-70-6476,A,Lagos,Member,M,Fashion accessories,Fashion accessories-604-70-6476,"N6,458.40",5,1614.6,33906.6,1/23/2019,14:04,   Epay,32292,4.761904762,"N1,614.60",6.8,,,,,,,,,
799-71-1548,A,Lagos,Member,M,Electronic accessories,Electronic accessories-799-71-1548,"N27,979.20",4,5595.84,117512.64,1/7/2019,16:11,Card,111916.8,4.761904762,"N5,595.84",8.8,,,,,,,,,
290-68-2984,A,Lagos,Normal,M,Home and lifestyle,Home and lifestyle-290-68-2984,"N8,550.00",4,1710,35910,3/16/2019,11:22,Cash,34200,4.761904762,"N1,710.00",5.2,,,,,,,,,
704-11-6354,A,Lagos,Member,M,Home and lifestyle,Home and lifestyle-704-11-6354,"N21,204.00",8,8481.6,178113.6,1/6/2019,11:23,Cash,169632,4.761904762,"N8,481.60",8.9,,,,,,,,,
366-93-0948,A,Lagos,Member,M,Electronic accessories,Electronic accessories-366-93-0948,"N23,886.00",1,1194.3,25080.3,1/31/2019,10:46,Card,23886,4.761904762,"N1,194.30",9.7,,,,,,,,,
729-09-9681,A,Lagos,Member,M,Home and lifestyle,Home and lifestyle-729-09-9681,"N9,327.60",6,2798.28,58763.88,2/5/2019,10:16,   Epay,55965.6,4.761904762,"N2,798.28",8.7,,,,,,,,,
151-16-1484,A,Lagos,Member,M,Electronic accessories,Electronic accessories-151-16-1484,"N11,610.00",4,2322,48762,2/13/2019,12:38,   Epay,46440,4.761904762,"N2,322.00",6.5,,,,,,,,,
850-41-9669,A,Lagos,Normal,F,Electronic accessories,Electronic accessories-850-41-9669,"N27,021.60",9,12159.72,255354.12,3/19/2019,13:25,   Epay,243194.4,4.761904762,"N12,159.72",6.2,,,,,,,,,
447-15-7839,A,Lagos,Member,F,Sports and travel,Sports and travel-447-15-7839,"N8,006.40",10,4003.2,84067.2,2/9/2019,11:00,Cash,80064,4.761904762,"N4,003.20",4.2,,,,,,,,,
253-12-6086,A,Lagos,Member,F,Sports and travel,Sports and travel-253-12-6086,"N35,424.00",7,12398.4,260366.4,3/12/2019,12:43,Card,247968,4.761904762,"N12,398.40",8.7,,,,,,,,,
144-51-6085,A,Lagos,Member,M,Home and lifestyle,Home and lifestyle-144-51-6085,"N25,466.40",4,5093.28,106958.88,1/5/2019,16:05,Card,101865.6,4.761904762,"N5,093.28",4.4,,,,,,,,,
731-14-2199,A,Lagos,Member,F,Home and lifestyle,Home and lifestyle-731-14-2199,"N12,794.40",10,6397.2,134341.2,1/4/2019,13:34,   Epay,127944,4.761904762,"N6,397.20",7,,,,,,,,,
126-54-1082,A,Lagos,Member,F,Home and lifestyle,Home and lifestyle-126-54-1082,"N7,754.40",9,3489.48,73279.08,1/7/2019,11:44,Card,69789.6,4.761904762,"N3,489.48",8.8,,,,,,,,,
633-91-1052,A,Lagos,Normal,F,Home and lifestyle,Home and lifestyle-633-91-1052,"N4,330.80",2,433.08,9094.68,1/27/2019,15:51,Cash,8661.6,4.761904762,N433.08,5.1,,,,,,,,,
828-61-5674,A,Lagos,Member,M,Sports and travel,Sports and travel-828-61-5674,"N15,847.20",10,7923.6,166395.6,3/20/2019,19:57,Card,158472,4.761904762,"N7,923.60",9.6,,,,,,,,,
136-08-6195,A,Lagos,Normal,F,Home and lifestyle,Home and lifestyle-136-08-6195,"N25,185.60",8,10074.24,211559.04,2/15/2019,17:01,Card,201484.8,4.761904762,"N10,074.24",6.4,,,,,,,,,
490-29-1201,A,Lagos,Normal,F,Sports and travel,Sports and travel-490-29-1201,"N5,522.40",1,276.12,5798.52,1/6/2019,11:09,Cash,5522.4,4.761904762,N276.12,6.5,,,,,,,,,
667-92-0055,A,Lagos,Member,M,HEALTH and Beauty,HEALTH and Beauty-667-92-0055,"N35,938.80",6,10781.64,226414.44,3/4/2019,15:02,   Epay,215632.8,4.761904762,"N10,781.64",8.5,,,,,,,,,
565-17-3836,A,Lagos,Member,F,HEALTH and Beauty,HEALTH and Beauty-565-17-3836,"N17,161.20",4,3432.24,72077.04,3/12/2019,14:21,Cash,68644.8,4.761904762,"N3,432.24",9.1,,,,,,,,,
430-60-3493,A,Lagos,Member,F,Home and lifestyle,Home and lifestyle-430-60-3493,"N34,156.80",7,11954.88,251052.48,2/3/2019,14:38,Cash,239097.6,4.761904762,"N11,954.88",4.2,,,,,,,,,
278-97-7759,A,Lagos,Member,F,Electronic accessories,Electronic accessories-278-97-7759,"N22,492.80",1,1124.64,23617.44,2/18/2019,20:29,Cash,22492.8,4.761904762,"N1,124.64",4.7,,,,,,,,,
316-68-6352,A,Lagos,Member,F,Food and beverages,Food and beverages-316-68-6352,"N13,089.60",2,1308.96,27488.16,1/21/2019,10:00,Cash,26179.2,4.761904762,"N1,308.96",7.1,,,,,,,,,
744-02-5987,A,Lagos,Member,M,Home and lifestyle,Home and lifestyle-744-02-5987,"N28,216.80",6,8465.04,177765.84,1/10/2019,14:16,   Epay,169300.8,4.761904762,"N8,465.04",5.8,,,,,,,,,
307-83-9164,A,Lagos,Member,M,Home and lifestyle,Home and lifestyle-307-83-9164,"N21,603.60",4,4320.72,90735.12,1/25/2019,15:54,Cash,86414.4,4.761904762,"N4,320.72",4.5,,,,,,,,,
439-54-7422,A,Lagos,Normal,F,Electronic accessories,Electronic accessories-439-54-7422,"N18,428.40",4,3685.68,77399.28,3/18/2019,17:15,Card,73713.6,4.761904762,"N3,685.68",4.7,,,,,,,,,
411-77-0180,A,Lagos,Member,M,Electronic accessories,Electronic accessories-411-77-0180,"N25,992.00",7,9097.2,191041.2,3/26/2019,20:14,   Epay,181944,4.761904762,"N9,097.20",4.3,,,,,,,,,
286-01-5402,A,Lagos,Normal,F,Sports and travel,Sports and travel-286-01-5402,"N14,482.80",7,5068.98,106448.58,3/30/2019,13:22,Cash,101379.6,4.761904762,"N5,068.98",9.6,,,,,,,,,
803-17-8013,A,Lagos,Member,F,Home and lifestyle,Home and lifestyle-803-17-8013,"N31,964.40",8,12785.76,268500.96,2/17/2019,17:09,Cash,255715.2,4.761904762,"N12,785.76",4.1,,,,,,,,,
512-98-1403,A,Lagos,Member,F,Electronic accessories,Electronic accessories-512-98-1403,"N9,532.80",3,1429.92,30028.32,3/21/2019,10:40,   Epay,28598.4,4.761904762,"N1,429.92",4.7,,,,,,,,,
848-42-2560,A,Lagos,Normal,F,Fashion accessories,Fashion accessories-848-42-2560,"N29,487.60",2,2948.76,61923.96,3/5/2019,17:43,Cash,58975.2,4.761904762,"N2,948.76",7.8,,,,,,,,,
870-76-1733,A,Lagos,Member,F,Food and beverages,Food and beverages-870-76-1733,"N5,122.80",5,1280.7,26894.7,2/1/2019,10:08,Card,25614,4.761904762,"N1,280.70",4.4,,,,,,,,,
423-64-4619,A,Lagos,Member,F,HEALTH and Beauty,HEALTH and Beauty-423-64-4619,"N5,598.00",9,2519.1,52901.1,3/7/2019,13:12,Cash,50382,4.761904762,"N2,519.10",5,,,,,,,,,
372-94-8041,A,Lagos,Normal,M,Health and beauty,Health and beauty-372-94-8041,"N5,493.60",6,1648.08,34609.68,2/15/2019,18:03,   Epay,32961.6,4.761904762,"N1,648.08",9.8,,,,,,,,,
563-91-7120,A,Lagos,Normal,F,Fashion accessories,Fashion accessories-563-91-7120,"N22,237.20",5,5559.3,116745.3,3/8/2019,13:21,Cash,111186,4.761904762,"N5,559.30",6.7,,,,,,,,,
746-54-5508,A,Lagos,Normal,M,Home and lifestyle,Home and lifestyle-746-54-5508,"N7,747.20",6,2324.16,48807.36,1/17/2019,12:48,Card,46483.2,4.761904762,"N2,324.16",9.4,,,,,,,,,
815-11-1168,A,Lagos,Member,M,Food and beverages,Food and beverages-815-11-1168,"N35,920.80",5,8980.2,188584.2,3/9/2019,19:09,Cash,179604,4.761904762,"N8,980.20",5.4,,,,,,,,,
340-66-0321,A,Lagos,Member,M,Electronic accessories,Electronic accessories-340-66-0321,"N13,089.60",4,2617.92,54976.32,3/25/2019,13:07,Cash,52358.4,4.761904762,"N2,617.92",7.6,,,,,,,,,
634-97-8956,A,Lagos,Normal,M,Food and beverages,Food and beverages-634-97-8956,"N11,844.00",3,1776.6,37308.6,2/17/2019,17:27,Card,35532,4.761904762,"N1,776.60",9.1,,,,,,,,,
566-71-1091,A,Lagos,Normal,M,Fashion accessories,Fashion accessories-566-71-1091,"N27,727.20",5,6931.8,145567.8,2/3/2019,15:59,Cash,138636,4.761904762,"N6,931.80",5.5,,,,,,,,,
442-48-3607,A,Lagos,Member,M,Food and beverages,Food and beverages-442-48-3607,"N8,452.80",2,845.28,17750.88,3/14/2019,11:21,Card,16905.6,4.761904762,N845.28,7.9,,,,,,,,,
527-09-6272,A,Lagos,Member,F,Electronic accessories,Electronic accessories-527-09-6272,"N10,242.00",5,2560.5,53770.5,3/21/2019,10:17,Card,51210,4.761904762,"N2,560.50",9.1,,,,,,,,,
898-04-2717,A,Lagos,Normal,M,Fashion accessories,Fashion accessories-898-04-2717,"N27,504.00",9,12376.8,259912.8,3/19/2019,15:49,   Epay,247536,4.761904762,"N12,376.80",7.5,,,,,,,,,
150-89-8043,A,Lagos,Normal,M,Sports and travel,Sports and travel-150-89-8043,"N16,074.00",3,2411.1,50633.1,2/14/2019,15:04,Cash,48222,4.761904762,"N2,411.10",6.2,,,,,,,,,
135-84-8019,A,Lagos,Normal,F,Fashion accessories,Fashion accessories-135-84-8019,"N28,054.80",9,12624.66,265117.86,2/27/2019,16:10,   Epay,252493.2,4.761904762,"N12,624.66",7.6,,,,,,,,,
441-94-7118,A,Lagos,Member,M,Electronic accessories,Electronic accessories-441-94-7118,"N25,902.00",1,1295.1,27197.1,2/4/2019,12:14,Cash,25902,4.761904762,"N1,295.10",7.3,,,,,,,,,
531-80-1784,A,Lagos,Normal,M,Electronic accessories,Electronic accessories-531-80-1784,"N9,367.20",7,3278.52,68848.92,3/28/2019,17:38,Cash,65570.4,4.761904762,"N3,278.52",5.1,,,,,,,,,
834-61-8124,A,Lagos,Normal,M,Electronic accessories,Electronic accessories-834-61-8124,"N18,608.40",7,6512.94,136771.74,1/26/2019,18:22,Cash,130258.8,4.761904762,"N6,512.94",5.5,,,,,,,,,
612-36-5536,A,Lagos,Member,M,Food and beverages,Food and beverages-612-36-5536,"N29,145.60",8,11658.24,244823.04,2/17/2019,11:12,Card,233164.8,4.761904762,"N11,658.24",7.4,,,,,,,,,
